datetime,portfolio_value,cash,return
2024-01-16 09:30:00-05:00,100000.0,100000.0,
2024-01-17 09:30:00-05:00,99638.79974365234,50097.698974609375,-0.0036120025634766018
2024-01-18 09:30:00-05:00,99868.75,50097.698974609375,0.002307838481989677
2024-01-19 09:30:00-05:00,100250.94833374023,50097.698974609375,0.003827006283148915
2024-01-20 09:30:00-05:00,100250.94833374023,50097.698974609375,0.0
2024-01-22 09:30:00-05:00,100918.75,50097.698974609375,0.006661300240638379
2024-01-23 09:30:00-05:00,100918.75,50097.698974609375,0.0
2024-01-24 09:30:00-05:00,101317.74871826172,50097.698974609375,0.003953662904680355
2024-01-25 09:30:00-05:00,101293.59756469727,50097.698974609375,-0.00023837041258789604
2024-01-26 09:30:00-05:00,101294.64859008789,50097.698974609375,1.0376029836889344e-05
2024-01-27 09:30:00-05:00,101294.64859008789,50097.698974609375,0.0
2024-01-29 09:30:00-05:00,101309.35012817383,50097.698974609375,0.00014513637482904684
