time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-11-16 09:30:00-05:00,MachineLearningTrader,2f4f7add3d4e4aba94168b7b81967c6f,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MachineLearningTrader,c7da4e6518d64c3d863bfe5c8b4deae3,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MachineLearningTrader,0c7c5d8cba104d7686d3a14470e6989a,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MachineLearningTrader,671f0352a033435d9305e475fcc20c0a,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MachineLearningTrader,5f6646cddb1e4de0a6f97260497b7a5b,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MachineLearningTrader,101b3ac1f1a7454da4c3448c495cdb74,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MachineLearningTrader,e67ee9d2b6b949d28ea77be618dedc5d,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MachineLearningTrader,0d1b4bdf33114cccb0df6cd6a5ff38c9,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MachineLearningTrader,e173656fc1eb498aa83a0cb4c7d97418,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MachineLearningTrader,8738c6eae8d84056926678da6c2b10ab,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MachineLearningTrader,1aa93c5a737a419ba82c4ce51591b846,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MachineLearningTrader,1381d011b8e645e783cd3a651968ec08,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MachineLearningTrader,d25a3f42ffaa41fa9581f50254033fbc,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MachineLearningTrader,1381d011b8e645e783cd3a651968ec08,SPY,buy,market,fill,1,day,0.0,1,stock,449.2200012207031,3659.0,0.0
2023-11-16 09:30:00-05:00,MachineLearningTrader,d25a3f42ffaa41fa9581f50254033fbc,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.2200012207031,1898.0,0.0
