datetime,portfolio_value,cash,return
2022-01-03 09:30:00-05:00,100000.0,100000.0,
2022-01-04 09:30:00-05:00,100000.0,100000.0,0.0
2022-01-05 09:30:00-05:00,100000.0,100000.0,0.0
2022-01-06 09:30:00-05:00,100000.0,100000.0,0.0
2022-01-07 09:30:00-05:00,100000.0,100000.0,0.0
2022-01-08 09:30:00-05:00,100000.0,100000.0,0.0
2022-01-10 09:30:00-05:00,100000.0,100000.0,0.0
2022-01-11 09:30:00-05:00,100000.0,100000.0,0.0
2022-01-12 09:30:00-05:00,100000.0,100000.0,0.0
2022-01-13 09:30:00-05:00,100000.0,100000.0,0.0
2022-01-14 09:30:00-05:00,100000.0,100000.0,0.0
2022-01-15 09:30:00-05:00,100000.0,100000.0,0.0
2022-01-18 09:30:00-05:00,100000.0,100000.0,0.0
2022-01-19 09:30:00-05:00,100000.0,100000.0,0.0
2022-01-20 09:30:00-05:00,100000.0,100000.0,0.0
