time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MachineLearningTrader,56c911ed12114dba8649382f9dc2fa3a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MachineLearningTrader,56c911ed12114dba8649382f9dc2fa3a,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,MachineLearningTrader,14c5df1e8411480dbdc012fb78efb5a6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MachineLearningTrader,14c5df1e8411480dbdc012fb78efb5a6,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 09:30:00-05:00,MachineLearningTrader,6fce058c5e6146a082513010a4f52f37,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MachineLearningTrader,6fce058c5e6146a082513010a4f52f37,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 09:30:00-05:00,MachineLearningTrader,0a6d11edf5014ce797d7f9b183abbf2c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MachineLearningTrader,0a6d11edf5014ce797d7f9b183abbf2c,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 09:30:00-04:00,MachineLearningTrader,6bf13a33516745e8893ccd1008b096f3,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MachineLearningTrader,6bf13a33516745e8893ccd1008b096f3,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,890.0,0.0
2020-03-11 09:30:00-04:00,MachineLearningTrader,e36d85dfd6d04c1da981ef7a7a91022f,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MachineLearningTrader,d71f13dc326841ae97f4d575cb3b7ce4,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,155.0,0.0
2020-03-11 09:30:00-04:00,MachineLearningTrader,a8cab6c05b7449c7b457217fdfcaaff9,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MachineLearningTrader,c41939e162254dd3bf35d2678944657c,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,227.0,0.0
