datetime,portfolio_value,cash,return
2024-01-16 09:30:00-05:00,100000.0,100000.0,
2024-01-17 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-18 09:30:00-05:00,99767.85974121094,150012.9207763672,-0.0023214025878905975
2024-01-19 09:30:00-05:00,99382.02142333984,150012.9207763672,-0.0038673608802667347
2024-01-20 09:30:00-05:00,99382.02142333984,150012.9207763672,0.0
2024-01-22 09:30:00-05:00,98707.85974121094,150012.9207763672,-0.006783537630585812
2024-01-23 09:30:00-05:00,98707.85974121094,150012.9207763672,0.0
2024-01-24 09:30:00-05:00,98305.06103515625,150012.9207763672,-0.004080715630049414
2024-01-25 09:30:00-05:00,98329.44219970703,150012.9207763672,0.0002480153543882313
2024-01-26 09:30:00-05:00,98328.38116455078,150012.9207763672,-1.079061502351486e-05
2024-01-27 09:30:00-05:00,98328.38116455078,150012.9207763672,0.0
2024-01-29 09:30:00-05:00,98313.5396118164,150012.9207763672,-0.00015093864618331843
