time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-19 09:30:00-05:00,MachineLearningTrader,dcc1607f9ade4894be6e7180dd9e2446,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MachineLearningTrader,dcc1607f9ade4894be6e7180dd9e2446,SPY,sell,market,fill,1,gtc,0.0,1,stock,389.3599853515625,128.0,0.0
2023-02-01 09:30:00-05:00,MachineLearningTrader,1556037a447f4823a97e79ca91b9dd2d,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-02-01 09:30:00-05:00,MachineLearningTrader,d872d56ac6254962ba8e4e8fe52c53e1,SPY,buy,stop,fill,1,day,0.0,1,stock,408.82798461914064,128.0,0.0
2023-04-10 09:30:00-04:00,MachineLearningTrader,2ca9af303dc1416187d225ad6a3822dc,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-10 09:30:00-04:00,MachineLearningTrader,2ca9af303dc1416187d225ad6a3822dc,SPY,sell,market,fill,1,gtc,0.0,1,stock,410.260009765625,119.0,0.0
2023-06-06 09:30:00-04:00,MachineLearningTrader,b5d500b5913b48dca5289a2af2c63e84,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MachineLearningTrader,03c88970fb9049798b6fa4df48bb6e27,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MachineLearningTrader,91d45ef4b79849699cdd4e06de4c6a9d,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MachineLearningTrader,60e2366ab1e54abf839f78cb2cdf8bc7,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MachineLearningTrader,91d45ef4b79849699cdd4e06de4c6a9d,SPY,buy,market,fill,1,day,0.0,1,stock,428.44000244140625,119.0,0.0
2023-06-06 09:30:00-04:00,MachineLearningTrader,60e2366ab1e54abf839f78cb2cdf8bc7,SPY,buy,market,fill,1,gtc,0.0,1,stock,428.44000244140625,171.0,0.0
2023-06-12 09:30:00-04:00,MachineLearningTrader,f32d193bf2d9463abb90c42be02650cd,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MachineLearningTrader,22f994180cef475683d08c6b9c24a950,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MachineLearningTrader,24d2317151514cfa81a5091071118de3,SPY,sell,market,new,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MachineLearningTrader,0a3a039af4e74797b5d4cd9ed1952822,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MachineLearningTrader,24d2317151514cfa81a5091071118de3,SPY,sell,market,fill,1,day,0.0,1,stock,435.32000732421875,171.0,0.0
2023-06-12 09:30:00-04:00,MachineLearningTrader,0a3a039af4e74797b5d4cd9ed1952822,SPY,sell,market,fill,1,gtc,0.0,1,stock,435.32000732421875,25.0,0.0
2023-06-29 09:30:00-04:00,MachineLearningTrader,cb2601df5e0740ff8bf52b44d7c60792,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-29 09:30:00-04:00,MachineLearningTrader,cb2601df5e0740ff8bf52b44d7c60792,SPY,sell,market,fill,1,gtc,0.0,1,stock,441.44000244140625,122.0,0.0
2023-07-26 09:30:00-04:00,MachineLearningTrader,dc1ee7ba19b440bda272a6e2dcebf962,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-07-26 09:30:00-04:00,MachineLearningTrader,e3fc23030f05410cb90a937b898aa9fe,SPY,buy,stop,fill,1,day,0.0,1,stock,459.0199890136719,25.0,0.0
2023-08-01 09:30:00-04:00,MachineLearningTrader,988e3922a9e6435f9d25f8e7c2f6afef,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-01 09:30:00-04:00,MachineLearningTrader,988e3922a9e6435f9d25f8e7c2f6afef,SPY,sell,market,fill,1,gtc,0.0,1,stock,453.25,165.0,0.0
2023-08-11 09:30:00-04:00,MachineLearningTrader,4031094cbd604217986c7618e3b0e616,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-11 09:30:00-04:00,MachineLearningTrader,4031094cbd604217986c7618e3b0e616,SPY,sell,market,fill,1,gtc,0.0,1,stock,443.9700012207031,253.0,0.0
2023-08-21 09:30:00-04:00,MachineLearningTrader,0eb6cfb4570a44f78e8785e4e25a0624,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-21 09:30:00-04:00,MachineLearningTrader,0eb6cfb4570a44f78e8785e4e25a0624,SPY,sell,market,fill,1,gtc,0.0,1,stock,441.17999267578125,382.0,0.0
2023-09-08 09:30:00-04:00,MachineLearningTrader,ae78bf6c686c4023a1fb5be2df2702f2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-09-08 09:30:00-04:00,MachineLearningTrader,ae78bf6c686c4023a1fb5be2df2702f2,SPY,sell,market,fill,1,gtc,0.0,1,stock,444.8999938964844,568.0,0.0
2023-11-02 09:30:00-04:00,MachineLearningTrader,75065993d47040389eb3fbfc24c40f0e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-02 09:30:00-04:00,MachineLearningTrader,75065993d47040389eb3fbfc24c40f0e,SPY,sell,market,fill,1,gtc,0.0,1,stock,433.1400146484375,875.0,0.0
2023-11-13 09:30:00-05:00,MachineLearningTrader,1be5e722264a403b8fc19e3bc6344ffe,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-13 09:30:00-05:00,MachineLearningTrader,1be5e722264a403b8fc19e3bc6344ffe,SPY,sell,market,fill,1,gtc,0.0,1,stock,439.2300109863281,1294.0,0.0
2023-11-16 09:30:00-05:00,MachineLearningTrader,bbace8c3e2bd472fb5860d9e1efc473b,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MachineLearningTrader,b60214c757ec4aceb592fb8adf10eaa8,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MachineLearningTrader,d99f78f7aee84617bcda5fb381a44abd,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MachineLearningTrader,1d58c02f53fe4176b2506a559783db54,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
